scheme_id,name,provider_type,support_type,business_tags,summary,eligibility_summary,location_scope,business_stage,status,source_url,source_reference,verification
PMEGP,Prime Minister's Employment Generation Programme,central_government,credit_linked_subsidy,"dairy,flour_processing,farm_equipment,manufacturing,services,rural_nonfarm",Credit-linked subsidy support for eligible new micro-enterprises in the non-farm sector.,"Applicant and project conditions apply; age, education, category and rural/urban location affect matching.",India,new,active_verify_current,https://www.common-pmegp.msme.gov.in/,MSME/KVIC PMEGP portal,official_source_checked
PMMY,Pradhan Mantri MUDRA Yojana,central_government,collateral_free_credit,"dairy,flour_processing,farm_equipment,manufacturing,trading,services,allied_agriculture",Institutional collateral-free credit for eligible micro enterprises through lending institutions.,"Eligible individuals/businesses and lender appraisal apply. Categories include Shishu, Kishor, Tarun and Tarun Plus.",India,"new,existing",active,https://www.financialservices.gov.in/node/3467,"Department of Financial Services, Ministry of Finance",official_source_checked
PMFME,PM Formalisation of Micro Food Processing Enterprises,central_government,credit_linked_subsidy,"flour_processing,food_processing,agri_processing,dairy_processing","Credit-linked capital subsidy and ecosystem support for eligible micro food-processing enterprises, including ODOP-linked support.","Food-processing activity, applicant/entity and state/ODOP conditions must be checked against current guidelines.",India,"new,existing",active_verify_current,https://pmfme.mofpi.gov.in/,Ministry of Food Processing Industries,official_source_checked
AHIDF,Animal Husbandry Infrastructure Development Fund,central_government,interest_subvention_credit,"dairy_processing,dairy,animal_feed,poultry,meat_processing,animal_husbandry","Infrastructure financing support for dairy processing/value addition, animal feed and other eligible animal-husbandry infrastructure.","Individual entrepreneurs, private companies, MSMEs, FPOs, Section 8 companies and dairy cooperatives may qualify subject to current operational guidelines.",India,"new,existing",verify_current_extension,https://dahd.gov.in/schemes/programmes/ahidf,Department of Animal Husbandry & Dairying,official_source_checked
CGTMSE,Credit Guarantee Scheme for Micro & Small Enterprises,central_government,credit_guarantee,"dairy,flour_processing,farm_equipment,manufacturing,services,trading,msme",Credit guarantee support to eligible lenders for credit facilities to eligible MSEs.,MSE and lender eligibility apply; the guarantee is provided to the lender rather than directly paid to the borrower.,India,"new,existing",active,https://www.cgtmse.in/,CGTMSE / Ministry of MSME,official_source_checked
STANDUP_INDIA,Stand-Up India,central_government,bank_loan,"manufacturing,services,trading,greenfield_enterprise",Bank finance for eligible greenfield enterprises promoted by women and SC/ST entrepreneurs.,"Applicant category, greenfield status, ownership/control and bank appraisal conditions apply.",India,new,verify_current,https://www.standupmitra.in/,Stand-Up India portal,official_source_checked
PM_VISHWAKARMA,PM Vishwakarma,central_government,credit_plus_support,"traditional_trades,artisan,manufacturing,services",Credit and non-credit support package for eligible artisans/craftspeople in notified traditional trades.,Trade must be in the notified list and beneficiary conditions must be satisfied.,India,"new,existing",active_verify_current,https://pmvishwakarma.gov.in/,PM Vishwakarma portal,official_source_not_independently_retrieved
NLM,National Livestock Mission,central_government,capital_subsidy,"poultry,sheep_goat,piggery,fodder,livestock","Entrepreneurship and breed-development support for livestock, poultry and feed/fodder activities.",Activity-specific eligibility and beneficiary/entity rules apply.,India,"new,existing",active_verify_current,https://dahd.gov.in/schemes/programmes/national_livestock_mission,Department of Animal Husbandry & Dairying,official_source_checked
AIF,Agriculture Infrastructure Fund,central_government,interest_subvention_credit_guarantee,"agri_processing,warehousing,cold_storage,post_harvest,farm_infrastructure,food_processing",Financing support for eligible post-harvest management infrastructure and community farming assets.,"Eligible beneficiary, asset and project conditions must be checked under the current operational guidelines.",India,"new,existing",verify_current,https://agriinfra.dac.gov.in/,Agriculture Infrastructure Fund portal,official_source_not_independently_retrieved
PM_KUSUM,PM-KUSUM,central_government,capital_subsidy,"solar_pumps,renewable_energy,agriculture","Support for solar pumps, solarisation of agricultural pumps and eligible solar power projects.",Farmer/project/location and state implementation conditions apply.,India,"new,existing",active_verify_state_rules,https://pmkusum.mnre.gov.in/,National PM-KUSUM Portal,official_source_checked
PMMSY,Pradhan Mantri Matsya Sampada Yojana,central_government,capital_support,"fisheries,aquaculture,fish_processing","Support for fisheries, aquaculture infrastructure and value-chain activities.",Activity and beneficiary eligibility under current fisheries guidelines apply.,India,"new,existing",verify_current,https://dof.gov.in/,Department of Fisheries,official_source_not_independently_retrieved
ACABC,Agri-Clinics and Agri-Business Centres,central_government,training_credit_subsidy,"agri_services,farm_equipment,custom_hiring,agri_consultancy,input_services",Support for eligible trained agriculture professionals establishing agri-clinics/agri-business centres.,Education/training and activity-specific eligibility rules apply.,India,new,verify_current,https://www.acabcmis.gov.in/,ACABC portal,official_source_not_independently_retrieved
DAY_NULM_SEP,DAY-NULM Self Employment Programme,central_government,interest_subsidy_credit,"micro_enterprise,services,trading,urban_livelihood",Self-employment support for eligible urban poor through individual/group enterprises.,Urban-poor and current SEP eligibility conditions apply.,India,"new,existing",verify_current,https://nulm.gov.in/,DAY-NULM,official_source_not_independently_retrieved
