table_name,purpose,column_name,data_type,nullable,primary_key,foreign_key,description,allowed_values,example,source_required,confidence_required,module_using_it
master.sources,Authoritative data provenance and source catalog,id,VARCHAR(64),NO,YES,NONE,Unique stable identifier for the source,SRC-*,SRC-GOI-MSME-PMEGP,NO,NO,All Modules / Provenance Engine
master.dataset_versions,Dataset release tracking & schema compatibility,version_tag,VARCHAR(64),NO,NO,UNIQUE,Semantic release tag of the dataset,SemVer strings,1.0.0-SIH2026-MVP,NO,NO,DevOps & System Auditing
master.villages,Census-backed village geographic entities with coordinates,census_code,VARCHAR(32),NO,NO,UNIQUE,Official 6-digit Census 2011 village code,Official Census codes,033105,YES,YES,GIS / Location Resolver
master.villages,Census-backed village geographic entities with coordinates,geometry,"GEOMETRY(Point, 4326)",YES,NO,NONE,PostGIS spatial point for 5km/10km radius queries,WGS84 Point,SRID=4326;POINT(75.4712 30.7725),YES,YES,GIS Engine (Ansh)
master.demographics,Census 2011 population and worker counts,source_year,INT,NO,NO,NONE,Year of data observation (strictly 2011 for Census),2011,2011,YES,YES,Market Intelligence & Scoring
master.businesses,Identified public map competitors and services,coverage_type,VARCHAR(64),NO,NO,NONE,Source methodology for POI capture,"sample_osm, cooperative_registry, local_survey",sample_osm,YES,YES,Competitor Mapping UI (Arpit)
master.prices,Verified commodity and product pricing,price_scope,VARCHAR(32),NO,NO,NONE,Geographic applicability level of price,"local, market, district, regional, reference",market,YES,YES,Financial Engine (Deepak)
master.financial_references,Authoritative macroeconomic and statutory benchmarks,value,"NUMERIC(12,4)",NO,NO,NONE,Benchmark numeric rate or ratio,Official statutory rates,6.50,YES,YES,Financial Calculations & Solvency
master.business_operating_assumptions,Standard micro-enterprise operational parameters,parameter_name,VARCHAR(128),NO,NO,NONE,Operational metric (e.g. inventory cycle days),Documented operational norms,Normative Working Capital Inventory & Receivables Cycle,YES,YES,Financial Modeling Engine
master.document_chunks,RAG chunked text excerpts and embeddings,embedding,vector(768),YES,NO,NONE,High-dimensional vector embedding (NULL while pending),768-dim float vector or NULL,NULL,NO,NO,AI Advisor / Semantic Search
app.calculation_runs,Auditable log of every financial calculation execution,id,VARCHAR(64),NO,YES,NONE,Unique run ID for the calculation,RUN-*,RUN-PB-2026-001,NO,NO,Audit & Financial Engine
app.financial_results,Computed outputs from deterministic finance engine,dscr,"NUMERIC(6,2)",NO,NO,NONE,Debt Service Coverage Ratio (EBITDA / Total Debt Service),> 0,7.38,NO (Engine Computed),NO,Bankability & DPR Generation
