id,business_template_id,cost_type,item_name,quantity,unit,unit_cost,total_cost,source_id,source_date,confidence,is_estimated,estimation_method,data_status
CST-TMPL-DAIRY-01,TMPL-DAIRY-CHILLING-PANEER,equipment,Bulk Milk Cooler (1000L) with DX Refrigeration,1.0,unit,380000.0,380000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.92,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-DAIRY-02,TMPL-DAIRY-CHILLING-PANEER,equipment,Pneumatic Paneer Press & Stainless Steel Processing Vat,1.0,unit,85000.0,85000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.9,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-DAIRY-03,TMPL-DAIRY-CHILLING-PANEER,equipment,"Milk Analyzer, Can Scrubber & 15x 40L Milk Cans",1.0,set,85000.0,85000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.92,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-DAIRY-04,TMPL-DAIRY-CHILLING-PANEER,building,Hygienic Dairy Shed Renovation & Tiled Flooring (500 sq ft),500.0,sq_ft,350.0,175000.0,SRC-NABARD-PLP-LDH,2024-03-31,0.88,True,CPWD Punjab Rural Schedule of Rates civil norm @ Rs 350/sq ft,estimated
CST-TMPL-DAIRY-05,TMPL-DAIRY-CHILLING-PANEER,equipment,Diesel Generator Backup (10 kVA silent DG set),1.0,unit,180000.0,180000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.93,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-DAIRY-06,TMPL-DAIRY-CHILLING-PANEER,working_capital,Initial Working Capital Margin (15 days milk procurement),1.0,lump_sum,295000.0,295000.0,SRC-GRAMVEST-CURATED,2026-03-01,0.9,True,15 days raw milk procurement @ Rs 38.5/L for 500L/day baseline,curated
CST-TMPL-FLOUR-01,TMPL-FLOUR-AGRO-CHAKKI,machinery,Commercial 24-Inch Heavy-Duty Atta Chakki (15 HP Motor),1.0,unit,150000.0,150000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.94,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-FLOUR-02,TMPL-FLOUR-AGRO-CHAKKI,machinery,Grain Cleaner & Vibro Destoner Unit (500 kg/hr),1.0,unit,110000.0,110000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.92,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-FLOUR-03,TMPL-FLOUR-AGRO-CHAKKI,machinery,Continuous Band Pouch Sealer with Nitrogen Flush,1.0,unit,60000.0,60000.0,SRC-VEND-EQUIP-REF,2025-10-01,0.91,False,N/A - Direct Vendor Benchmark,verified
CST-TMPL-FLOUR-04,TMPL-FLOUR-AGRO-CHAKKI,building,"Civil Works, Foundation & Dust Extraction Ducting",1.0,lump_sum,80000.0,80000.0,SRC-GOI-MOFPI-PMFME,2021-01-15,0.88,True,PMFME standard project profile allocation for small civil foundations,estimated
CST-TMPL-FLOUR-05,TMPL-FLOUR-AGRO-CHAKKI,working_capital,Initial Working Capital (100 quintals raw wheat stock),1.0,lump_sum,250000.0,250000.0,SRC-PB-MANDI-AGMARK,2026-02-28,0.92,False,100 quintals wheat @ AGMARKNET modal price Rs 2425/qtl + transport,official
CST-TMPL-CHC-01,TMPL-CUSTOM-HIRING-CENTER,vehicle,50 HP Utility Tractor (4WD),1.0,unit,850000.0,850000.0,SRC-NABARD-PLP-LDH,2024-03-31,0.96,False,N/A - Direct Dealer Quote,verified
CST-TMPL-CHC-02,TMPL-CUSTOM-HIRING-CENTER,equipment,7-Feet Multi-Speed Rotavator,1.0,unit,125000.0,125000.0,SRC-NABARD-PLP-LDH,2024-03-31,0.94,False,N/A - Direct Dealer Quote,verified
CST-TMPL-CHC-03,TMPL-CUSTOM-HIRING-CENTER,equipment,Laser Land Leveler Unit Complete,1.0,unit,310000.0,310000.0,SRC-NABARD-PLP-LDH,2024-03-31,0.93,False,N/A - Direct Dealer Quote,verified
CST-TMPL-CHC-04,TMPL-CUSTOM-HIRING-CENTER,working_capital,"Spare Parts, Tooling & Initial Fuel Reserves",1.0,lump_sum,115000.0,115000.0,SRC-GRAMVEST-CURATED,2026-03-01,0.88,True,NABARD PLP standard CHC tooling reserve norm,curated
